sentimen,text
1,yang sabar ya insya alah menjadi pembuka pintu syurga dan penghalang api neraka bagi kedua orang tuanya
1,lagu barunya mbak tata kan kisah nyatanya rumah tanga mbak tata jadi rasanya mbak tata benar sayang get sama suaminya syukur kalau baikan semoga awet
1,yang komen kenapa sih mbak ini enggak sedih malah ketawa ya iyalah kalo kita deh disakiti sama pasangan sampai berlarut mengapai juga sih kita sedih sampai depresi segala serahin sama alah saja bawa hapy saja mski sakit lagian sih mbak senyum di wajahnya tapi hatinya mana tau kan senyumanya bisa jadi buat menetralisir kondisi hatinya yang lagi terpuruk ada pepatah bilang kalo bahagia jangan trlu bahagia kalo sedih juga jangan trlu sedih dimbangi saja biar enggak gila
1,suka banget sama pasangan satu ini semoga gigi dan rafi menjadi keluarga sakinah mawadah warahmah semoga tidak ada pihak yang ingin memisahkan mereka jodoh sampai maut memisahkan amin
1,jemima kan anak angkat celine eleya anak hubungan celine dan dirly dan saya terharu saya tau kalau jemima adalah anak panti asuhan yang dia rawat dan wajar kalau stefen lebih pilih celine karena hatinya baik
1,lucu yang bilang stefan menghabiskn masa muda wkwk umurnya mah enggak muda mukanya saja yang baby face bersyukur bonus buat celinenya lah dulu mantanya begimane dibawah umur ude pacran mcam laki bini hiks selepas itu yakin deh susah mengambil keputusan kayak stefan tipical cowok yang tngung jwabnya tingi
1,dan lagi ada yang masih bawa kenan raisa sudah paling berbahagia ngedapetin suami yang super ngemong dan mature kayak hamish raisa itu cukup dewasa di banding wanita seumuranya yang masih memikirkan dirinya sendiri jadi menurut gue raisa dan hamish sama beruntung bisa menjadi sepasang suami istri enggak ada tuh gagal move on sok congratz raisa dan hamish semoga pernikahanya sakinah mawadah dan warahmah
1,raisa cantik ya meskipun artis tapi enggak menonjolkan kalo nikah tuh harus mewah sudah cantik sederhana sempurna banget
1,karena orang yang syudah cantik enggak perlu dandan heboh untuk membuatnya terlihat cantik dengan makeup yang simple begitu saja sudah mempesona bikin hamish klepek
1,bagus dong mencari ilmu kapanpun dimanapun itu karena suaminya orang berpendidikan
1,suka cewek cantik dan kemauan blajarnya tingi
1,yampun ini artis benar benar god atitude yang layak jadi panutan dia kan bisa saja kuliah di luar negeri tapi karena baktinya sama suami dia pilih kuliah di wilayah dekat suaminya salut banget
1,semangat batman kita va selalu suport kamu karena setiap manusia pasti pernah punya kesalahan dan buat yang lain tolong jangan di bahas lagi plis karena itu sudah tahun yang lalu
